Title,Acronym,Source,Rank,,Primary For,
ACM Symposium on Applied Computing,SAC,CORE2023,Multiconference,No,4601,
ACM Symposium on Document Engineering,DocEng,CORE2023,B,Yes,4605,
ACM Symposium on Mobile Ad Hoc Networking and Computing,MOBIHOC,CORE2023,A,Yes,4606,
ACM Symposium on Principles of Database Systems,SPDS,CORE2018,C,No,0804,
ACM Symposium on Principles of Distributed Computing,PODC,CORE2023,A*,Yes,4606,
"ACM Symposium on Software Reusability ",SSR,CORE2018,A,No,0803,
ACM Symposium on Solid and Physical Modelling,SPM,CORE2023,C,No,4607,
ACM Symposium on Theory of Computing,STOC,CORE2023,A*,Yes,4613,
ACM Symposium on User Interface Software and Technology,UIST,CORE2023,A*,Yes,4608,
ACM Virtual Reality Software and Technology,VRST,CORE2023,A,Yes,4607,
ACM Workshop on Formal Methods in Security Engineering: From Specifications to Code,FMSE,CORE2018,C,No,0803,
ACM Workshop on Hot Topics in Networks,HOTNETS,CORE2023,National: USA,No,4606,
ACM Workshop on Hot Topics in Software Upgrades,HotSWUp,CORE2018,C,No,0803,
ACM Workshop on Role Based Access Control (now SACMAT),RBAC,CORE2014,C,No,0802,
ACM Workshop on Scalable Trusted Computing,STC,CORE2018,B,No,0803,
ACM Workshop on Secure Web Services,SWS,CORE2018,C,No,0801,
ACM Workshop on Web Information and Data Management,WIDM,CORE2018,B,No,0806,
ACM-SIGACT Symposium on Principles of Programming Languages,POPL,CORE2023,A*,Yes,4612,
ACM-SIGPLAN Conference on Programming Language Design and Implementation,PLDI,CORE2023,A*,Yes,4612,
ACM-SIGRAPH Interactive 3D Graphics and Games,I3DG,CORE2023,B,Yes,4607,
ACM/IEEE International Conference on Distributed Smart Cameras,ICDSC,CORE2021,B,No,4606,
ACM/IEEE International Conference on Human-Robot Interaction,HRI,CORE2023,A,Yes,4608,
"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",MSWIM,CORE2023,A,Yes,4606,
ACM/IEEE Symposium on Edge Computing,SEC,CORE2023,unranked,Yes,4606,
ACM/IFIP/USENIX International Middleware Conference,Middleware,CORE2023,A,Yes,4606,
ACM/SIAM Symposium on Discrete Algorithms,SODA,CORE2023,A*,Yes,4613,
ACM/SPEC International Conference on Performance Engineering,ICPE,CORE2023,B,Yes,4612,
ACM/SPIE Multimedia Computing and Networking,MMCN,CORE2018,A,No,0801,
ACS/IEEE International Conference on Computer Systems and Applications,AICCSA,CORE2023,C,Yes,46,
Active and Real-Time Database Systems,ARTDB,CORE2018,C,No,0804,
Advanced Concepts for Intelligent Vision Systems,ACIVS,CORE2023,B,Yes,4603,
Advanced Course on Artificial Intelligence,ACAI,CORE2018,C,No,0801,
Advanced Research in VLSI,ARVLSI,CORE2018,C,No,0805,
Advanced Visual Interfaces,AVI,CORE2023,B,No,4608,
Advances in Cryptology,CRYPTO,CORE2023,A*,Yes,4604,
Advances in Information Systems,ADVIS,CORE2018,C,No,0806,
Advances in Intelligent Systems,AIS,CORE2018,C,No,0801,
Advances in Modal Logic,AiML,CORE2023,B,Yes,4613,
Advances in Neural Information Processing Systems (was NIPS),NeurIPS,CORE2023,A*,Yes,4611,
Advances in the Theory of Computing,AITC,CORE2018,C,No,0802,
Agent-Oriented Information Systems Workshop,AOIS,CORE2014,B,No,0801,
Agent-Oriented Software Engineering Workshop (merged into EMAS in 2013),AOSE,ERA2010,C,No,0801,
AIAA Aerospace Sciences Meeting,,ERA2010,B,No,0901,
AIChE Annual Meeting,,ERA2010,C,No,09,
AISB Convention (Society for the Study of Artificial Intelligence and Simulation of Behaviour),AISB,ERA2010,B,No,1203,
Algebraic Methodology and Software Technology,AMAST,CORE2018,C,No,0802,
Algorithmic Learning Theory,ALT,CORE2023,B,Yes,4611,
Algorithms and Complexity in Durham,ACID,CORE2018,C,No,0802,
Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures),WADS,CORE2023,B,Yes,4613,
Algorithms and Experiments,ALEX,CORE2018,B,No,,
Ambient Information Systems,AIS,ERA2010,B,No,1203,
Ambient Intelligence Developments,Aml.d,CORE2018,C,No,0801,
American Association of Cost Engineers Annual Meeting,AACE,ERA2010,A,No,1202,
American Federation of Information Processing Societies,AFIPS,CORE2018,A,Yes,0801,0802
American Medical Informatics Annual Fall Symposium,AMIA,CORE2023,National: USA,No,4601,
"American Society for Heating, Refrigeration and Air Conditioning",ASHRAE,ERA2010,A,No,1202,
American Society of Mechanical Engineering,,ERA2010,A,No,0913,0903
Americas Conference on Information Systems,AMCIS,CORE2018,A,No,0806,
Americas Conference on Wind Engineering,,ERA2010,B,No,0905,
Annual Computer Security Applications Conference,ACSAC,CORE2023,A,Yes,4604,
Annual conference of American Society for Information Science and Technology,ASIS&T,CORE2008,A,Yes,,
Annual Conference of the Australasian Society for Computers in Learning in Tertiary Education,ASCILITE,CORE2018,Australasian,Yes,0899,
Annual Conference of the Australian Acoustical Society,,ERA2010,A,No,0913,0999
Annual Conference of the International Academy for Information Management,IAIM,CORE2018,C,No,0806,
Annual Conference of the International Speech Communication Association (was Eurospeech),Interspeech,CORE2014,A,No,0801,
Annual Conference on Computer Science Logic,CSL,CORE2023,B,Yes,4613,
Annual Conference on Evolutionary Programming,EP,CORE2018,C,No,0801,
Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE,CORE2023,B,Yes,4608,
"Annual Conference on Privacy, Security and Trust",PST,CORE2023,C,No,4604,
"Annual Convention for Survey, Mapping and Remote Sensing",RS,CORE2018,C,No,0909,
Annual Fall Workshop on Computational Geometry,CGW,CORE2018,C,No,0802,
"Annual IASTED International Conference on Networks, Parallel and Distributed Processing and Applications",NPDP,CORE2014,C,Yes,,
Annual International Conference of the IEEE Engineering in Medicine and Biology Society,,ERA2010,A,No,0903,
Annual International Conference on Ada,TRI-Ada,CORE2018,C,No,0803,
Annual International Workshop on Presence,ISPR,CORE2023,C,No,4607,
Annual Meeting of the Cognitive Science Society,CogSci,CORE2023,B,Yes,4602,
Annual Meeting of the Decision Sciences Institute,DSI,CORE2018,C,No,0806,
Annual Meeting of the Special Interest Group on Discourse and Dialog,SIGdial,CORE2023,B,Yes,4602,
Annual PKI R&D Workshop,PKI,CORE2018,C,No,0803,
Annual PPIG Workshop,PPIG,CORE2018,B,No,0806,
Annual Simulation Symposium,ANSS,CORE2018,B,Yes,0802,
"Annual Water Distribution Systems Analysis Conference, WDSA 2008",,ERA2010,A,No,0905,
AoM Organizational Communication and Information Systems,OCIS,CORE2018,A,No,0806,
Apple University Consortium Academic and Developers Conference,AUCADC,CORE2018,C,No,0899,
Application of Computers and Operations Research in the Minerals Industries,APCOMin,CORE2018,A,No,0909,
Application of Concurrency to System Design,ACSD,CORE2021,B,Yes,4606,
Applications of Information Visualization,IV-App,CORE2023,C,No,4608,
Applications of Natural Language to Data Bases,NLDB,CORE2023,C,No,4602,
Applied Computing Conference,ACC,CORE2023,C,No,4601,
Applied Perception in Graphics and Visualization,APGV,CORE2018,C,No,0801,
Architectural Support for Programming Languages and Operating Systems,ASPLOS,CORE2023,A*,Yes,4612,
Argentine Symposium on Artificial Intelligence,ASAI,CORE2017,C,No,0801,
Argentine Workshop on Theoretical Informatics,AWTI,CORE2008,B,Yes,,
Artificial Intelligence and Applications Conference,AIA,CORE2018,C,No,,
Artificial Intelligence Applications and Innovations,AIAI,CORE2023,C,Yes,4601,
Artificial Intelligence in Knowledge Management,AIKM,CORE2018,C,No,0801,
Artificial Intelligence in Medicine,AIIM,CORE2018,A,No,0801,
Artificial Neural Networks in Engineering Conference,ANNIE,CORE2018,B,No,0801,
"ArtsIT, Interactivity & Game Creation (was International Conference on Arts and Technology)",ArtsIT,CORE2023,C,Yes,4607,
ASCCS International Conference on Steel-Concrete Composite and Hybrid Structures,,ERA2010,A,No,0905,
ASEE Annual Conference and Exposition,,ERA2010,B,No,09,
ASEE Global Colloquium of Engineering Education,,ERA2010,B,No,09,
Asia and South Pacific Design Automation Conference,ASPDAC,CORE2023,C,No,4606,
"Asia Conference on Information, Computer and Communications Security",AsiaCCS,CORE2023,A,Yes,4604,
Asia Information Retrieval Symposium,AIRS,CORE2021,C,Yes,4605,
Asia International Conference on Modelling and Simulation,AMS,CORE2018,C,No,0802,
Asia Pacific Association for Medical Informatics Conference,APAMI,CORE2008,B,Yes,,
Asia Pacific Conference on Combustion,,ERA2010,B,No,0913,
Asia Pacific Conference on Communications,APCC,CORE2023,C,Yes,4606,
Asia Pacific Conference on Hardware Description Languages (was Asia Pacific CHipDesign Languages),APCHDL,CORE2018,C,No,1006,
Asia Pacific Decision Science Institute Conference,APDSI,CORE2018,C,No,0802,
Asia Pacific Industrial Engineering and Management Systems and Chinese Institute of Industrial Engineers Conference,APIEMS CIIEC,ERA2010,C,No,1203,
Asia Pacific Research Symposium on Accounting Information Systems,APRSAIS,CORE2018,C,No,0806,
Asia Pacific Symposium on Intelligent and Evolutionary Systems (was Australia-Japan Joint Workshop on  Intelligent and Evolutionary Systems),IES,CORE2023,C,Yes,4602,
Asia-Pacific Bioinformatics Conference,APBC,CORE2023,B,No,4601,
Asia-Pacific Computer Human Interaction Conference,APCHI,CORE2018,C,No,1203,
Asia-Pacific Conference on Complex Systems,Complex,CORE2018,C,No,0801,
Asia-Pacific Conference on Conceptual Modelling,APCCM,CORE2023,Australasian C,No,4605,
Asia-Pacific Conference on Engineering Plasticity and Its Applications,,ERA2010,A,No,0910,
Asia-Pacific Conference on Materials Processing,,ERA2010,A,No,0910,
Asia-Pacific Conference on Simulated Evolution and Learning,SEAL,CORE2020,B,No,4611,
Asia-Pacific Conference on Wind Engineering,,ERA2010,B,No,0905,
Asia-Pacific Forum on Engineering and Technology Education,AFETE,CORE2018,C,No,0999,
Asia-Pacific Network Operations and Management Symposium,APNOMS,CORE2023,C,No,4606,
Asia-Pacific Services Computing Conference,APSCC,CORE2023,C,Yes,4606,
Asia-Pacific Software Engineering Conference,APSEC,CORE2023,C,Yes,4612,
Asia-Pacific Vibration Conference,,ERA2010,B,No,0913,
Asian Computing Science Conference,ASIAN,CORE2018,B,No,08,
Asian Conference on Computer Vision,ACCV,CORE2023,B,No,4603,
Asian Conference on Intelligent Information and Database Systems,ACIIDS,CORE2023,B,Yes,4605,
Asian Conference on Machine Learning,ACML,CORE2023,Unranked,No,4611,
Asian Congress of Fluid Mechanics,,ERA2010,A,No,0901,
Asian International Mobile Computing Conference,AMOC,CORE2018,C,No,0805,
Asian Symposium on Computer Mathematics,ASCM,CORE2018,C,No,0802,
ASIAN Symposium on Programming Languages and Systems,APLAS,CORE2023,B,Yes,4612,
Asian Symposium on Visualization,,ERA2010,B,No,0901,
Asian-Pacific Conference on Computational Mechanics,APCOM,ERA2010,A,No,0905,
Asian-Pacific conferences on unsaturated soils,Unsat-Asian,ERA2010,A,No,0905,
"Asilomar Conference on Signals, Systems and Computing",ACSSC,CORE2023,National: USA,No,4606,
Aspect-Orientation Asia,AO-Asia,CORE2018,C,No,0803,
Aspect-Oriented Software Development,AOSD,CORE2018,A,No,0803,
Association for Computational Linguistics,ACL,CORE2023,A*,Yes,4602,
Association for Computer Aided Design in Architecture (ACADIA) Conference,ACADIA,ERA2010,A,No,1201,
Association for Computer-Aided Architectural Design Research in Asia (CAADRIA) annual conference,CAADRIA,CORE2023,C,No,4601,
Association of Architecture Schools of Australasia Annual Conference (AASA),AASA,ERA2010,C,No,1201,
Association of Collegiate Schools of Architecture (ACSA) Annual Meeting,ACSA,ERA2010,B,No,1201,
Association of Researchers in Construction Management Annual Conference,ARCOM,ERA2010,A,No,1202,
Athens Colloquium on Algorithms and Complexity,ACAC,ERA2010,C,Yes,0802,
AUSIMM Orebody Modelling and Strategic Mine Planning Conference,,ERA2010,A,No,0914,
AUSIMM Project Evaluation,,ERA2010,A,No,0914,
Australasia Conference on Information Security and Privacy,AISP,CORE2018,Australasian,Yes,0806,
Australasian Coasts and Ports Conference,,ERA2010,A,No,0911,
Australasian Cognitive Science Society Conference,AuCSS,CORE2018,Australasian,Yes,0801,
Australasian Compumod Users' Conference,COMPUMOD,CORE2018,Australasian,Yes,0803,
Australasian Computer Architecture Conference,ACAC,CORE2018,Australasian,Yes,0803,
Australasian Computer Music Conference,ACMA,CORE2018,Australasian,Yes,0899,
Australasian Computer Science Conference,ACSC,CORE2018,Australasian,Yes,08,
Australasian Computer Systems Architecture Conference (now Asia-Pacific Computer Systems Architecture Conference),ACSAC,CORE2018,Australasian,Yes,0803,
Australasian Computers in Education Conference,ACEC,CORE2018,Australasian,Yes,0899,
Australasian Computing Education Conference (ACE),ACE,CORE2023,Australasian B,Yes,4608,
Australasian Conference on Combinatorial Mathematics and Combinatorial Computing,ACCMCC,CORE2023,Australasian C,Yes,4613,
Australasian Conference on Information Security and Privacy,ACISP,CORE2023,Australasian B,Yes,4604,
Australasian Conference on Information Systems,ACIS,CORE2018,Australasian,Yes,0806,
Australasian Conference on Parallel and Real-Time Systems,APRTS,CORE2018,Australasian,Yes,0805,
Australasian Conference on Pattern Languages of Programs,KoalaPLoP,CORE2018,Australasian,Yes,0803,
Australasian Conference on Robotics and Automation,ACRA,CORE2023,Australasian C,Yes,4602,
Australasian Conference on the Mechanics of Structures and Materials,,ERA2010,B,No,0905,
Australasian Congress on Applied Mechanics,,ERA2010,A,No,0910,
Australasian Database Conference,ADC,CORE2023,Australasian B,Yes,4605,
Australasian Document Computing Symposium,ADCS,CORE2023,Australasian B,Yes,4605,
Australasian Fluid Mechanics Conference,,ERA2010,A,No,0913,
Australasian Housing Researchers Conference,AHRC,ERA2010,A,No,1205,
Australasian Information Security Conference,AISC,CORE2023,Australasian C,Yes,4604,
Australasian Information Security Workshop 2007 (Privacy Enhancing Technologies),AISW-PET,CORE2018,Australasian,Yes,0803,
Australasian Joint Conference on Artificial Intelligence,AI,CORE2023,Australasian B,Yes,4602,4603
Australasian Language Technology Workshop,ALTA,CORE2023,Australasian C,Yes,4602,
Australasian Port and Harbour Conference,,ERA2010,A,No,0911,
Australasian Refinement Workshop,AuRW,CORE2018,Australasian,Yes,0803,
Australasian Remote Sensing Conference,ARSC,CORE2018,Australasian,Yes,,
Australasian Remote Sensing Conference and Photogrammetry Conference,ARSPC,ERA2010,C,No,1005,
"Australasian Road Safety Research, Policing and Education Conference",,ERA2010,C,No,0902,
Australasian Speech Science and Technology,SST,CORE2023,Australasian C,Yes,4602,
Australasian Symposium on Grid Computing and e-Research (now AusPDC),AusGrid,CORE2018,Australasian,Yes,0805,
Australasian Symposium on Parallel and Distributed Computing (was AusGrid),AusPDC,CORE2023,Australasian C,Yes,4606,
Australasian Transport Research Forum,ATRF,ERA2010,A,No,1205,
Australasian Urban and Regional Information Systems Association Conference,AURISA,CORE2018,Australasian,Yes,0806,
Australasian User Interface Conference,AUIC,CORE2018,Australasian,Yes,0806,
Australasian Wind Engineering Society Workshop in Wind Engineering,,ERA2010,C,No,0905,
Australasian Women in Computing Workshop,WIC,CORE2018,Australasian,Yes,0899,
Australasian Workshop on Combinatorial Algorithms,AWOCA,CORE2018,Australasian,Yes,0802,
Australasian Workshop on Health Data and Knowledge Management,HDKM,CORE2018,Australasian,Yes,0804,
Australia New Zealand Geomechanics conference,,ERA2010,B,No,0905,
Australian and New Zealand Academy of Management Conference,ANZAM,CORE2018,Australasian,Yes,0806,
Australian and New Zealand Architectural Science Association (ANZAScA) Annual Conference,ANZAScA,ERA2010,B,No,1201,
Australian and New Zealand Association of Planning schools,ANZAPS,ERA2010,B,No,1202,
Australian and New Zealand Intelligent Information Systems Conference,ANZIIS,CORE2018,Australasian,Yes,0806,
Australian and New Zealand Marketing Academy Conference,ANZMAC,CORE2018,Australasian,Yes,0806,
Australian Combustion Symposium,,ERA2010,C,No,0913,
Australian Computer Human Interaction Conference,OZCHI,CORE2023,Australasian B,Yes,4608,
Australian Conference for Knowledge Management and Intelligent Decision Support,ACKMIDS,CORE2018,Australasian,Yes,0801,
Australian Conference on Artificial Life and Computational Intelligence,ACALCI,CORE2020,Australasian B,Yes,4602,
Australian Conference on Laser Diagnostics in Fluid Mechanics and Combustion,,ERA2010,B,No,0913,
Australian Conference on Mathematics and Computers in Sport,MCSpo,CORE2018,Australasian,Yes,,
Australian Conference on Neural Networks,ACNN,CORE2018,Australasian,Yes,0801,
Australian Conference on Software Metrics,ACOSM,CORE2018,Australasian,Yes,0803,
Australian Data Mining Conference,AusDM,CORE2023,Australasian C,Yes,4605,
Australian Digital Forensics Conference,,CORE2018,Australasian,Yes,0804,
Australian Earthquake Engineering Conference,,ERA2010,B,No,0905,
Australian Game Developers Conference,AGDC,CORE2018,Australasian,Yes,0806,
Australian Geothermal Energy Conference,,ERA2010,C,No,0913,
Australian Information Security Management Conference,ISM,CORE2018,Australasian,Yes,0804,
Australian Information Warfare and Security Conference,WarSec,CORE2018,Australasian,Yes,0806,
Australian Institute of Building Surveyors International Refereed Conference,AIBS,ERA2010,B,No,1202,
Australian Institute of Computer Ethics Conference,AICE,CORE2023,Australasian C,Yes,4608,
Australian Institute of Computer Ethics Conference,AICEC,CORE2018,Australasian,No,,
Australian Joint Conference on Artificial Intelligence,AusAI,CORE2018,Australasian,Yes,,
Australian Knowledge Acquisition Workshop,AKAW,CORE2018,Australasian,Yes,0801,
Australian MADYMO Users Meeting,MADYMO,CORE2018,Australasian,Yes,0801,
Australian MATLAB Conference,MATLAB,CORE2018,Australasian,Yes,0802,
Australian Pattern Recognition Society Conference,DICTA,CORE2017,Australasian,Yes,,
Australian Road Research Board Annual Conference,,ERA2010,B,No,0905,
Australian Software Engineering Conference,ASWEC,CORE2020,Australasian B,Yes,4612,
Australian Supercomputing Conference,ACS,CORE2018,Australasian,Yes,0805,
Australian Symposium on Information Visualisation,ASIV,CORE2018,Australasian,Yes,0801,
Australian Universities Building Education Association Annual Conference,AUBEA,ERA2010,B,No,1202,
Australian UNIX Users Group National Conference,AUUG,CORE2018,Australasian,Yes,0803,
Australian Water Association Convention - Ozwater,,ERA2010,C,No,0907,
Australian Women in IT Conference,AusWIT,CORE2018,Australasian,Yes,,
Australian Women in IT Conference,OzWIT,CORE2018,Australasian,Yes,0899,
"Australian Workshop on Mobile Computing, Databases and Applications",MCDA,CORE2018,Australasian,Yes,0806,
Australian Workshop on Requirements Engineering,AWRE,CORE2018,Australasian,Yes,0803,
Australian Workshop on Safety Critical Systems and Software,SCSS,CORE2018,Australasian,Yes,1005,
Australian Workshop on Software Architecture,AWSA,CORE2018,Australasian,Yes,0803,
Australian World Wide Web Conference,AusWeb,CORE2018,Australasian,Yes,0805,
Automated Software Engineering Conference,ASE,CORE2023,A*,Yes,4612,
Automation and Robotics International Symposium,ISARC,ERA2010,B,No,10,
Automation of Software Test,AST,CORE2023,C,No,4612,
Baosteel Academic Conference,,ERA2010,B,No,0910,
Benelux Workshop on Information and System Security,WISSec,ERA2010,C,Yes,0803,
Bioinformatics Visualization,BioViz,CORE2018,C,No,0801,
Bled Electronic Commerce Conference,BECC,ERA2010,B,Yes,0806,
Bluff Body Aerodynamics and Applications,,ERA2010,A,No,0905,
Body Sensor Networks,BSN,CORE2023,C,No,4601,
Brazilian Symposium on Computer Graphics and Image Processing,SIBGRAPI,ERA2010,C,Yes,0801,
Brazilian Symposium on Databases,SBBD,ERA2010,C,Yes,0804,
"Brazilian Symposium on Graphs, Algorithms and Combinatorics",GRACO,ERA2010,C,Yes,0802,
Brazilian Symposium on Information and Computer Systems Security,SBSEG,ERA2010,C,Yes,0803,
British Colloquium for Theoretical Computer Science,BCTCS,ERA2010,C,Yes,0802,
British Computer Society Conference on Human-Computer Interaction,HCI,CORE2023,National,Yes,4608,
British Computer Society Formal Aspects of Computing Science Specialist Group Workshop,BCS-FMW,ERA2010,C,Yes,0802,
British Machine Vision Conference,BMVC,CORE2023,A,Yes,4603,
British National Conference on Databases,BNCOD,ERA2010,B,Yes,0804,
Built Environment Education Conference,BEECON,ERA2010,B,No,12,
CAADFutures Biennial conference,CAADFutures,ERA2010,A,No,1201,
Canadian Artificial Intelligence Conference,CAAI,ERA2010,B,Yes,0801,
Canadian Conference on Computational Geometry,CCCG,ERA2010,C,Yes,0802,
Canadian Conference on Computer and Robot Vision,CRV,ERA2010,C,Yes,0801,
Canadian Conference on Electrical and Computer Engineering,CCECE,ERA2010,C,No,0905,
Canadian Discrete and Algorithmic Mathematics Conference,CanaDAM,ERA2010,C,Yes,0802,
Canadian Geotechnical Society Conference,,ERA2010,B,No,0905,
"Canadian Society for Civil Engineering, International Construction Specialty Conference",ICSC,ERA2010,C,No,0905,
CENTERIS - Conference on ENTERprise Information Systems,CENTERIS,CORE2018,Unranked,Yes,0806,
Centre for Asian and Middle Eastern Architecture conference,CAMEA,ERA2010,A,No,1201,
CGAL User Workshop,CGAL,CORE2018,C,No,0802,
Challenges of Large Applications in Distributed Environments,CLADE,CORE2018,C,No,0805,
Chemeca: Australasian Conference on Chemical Engineering,,ERA2010,B,No,0914,
CHI PLAY: The Annual Symposium on Computer-Human Interaction in Play,CHI PLAY,CORE2023,Journal Published,Yes,4608,
Chicago ASA Data Mining Conference- A Hard Look at DM,ASADM,CORE2008,B,Yes,,
Chilean Database Workshop,JCC/WBD(CDW),ERA2010,C,Yes,0804,
ChinaGrid Annual Conference,ChinaGrid,ERA2010,C,Yes,0805,
CIRP Life Cycle Engineering Conference,,ERA2010,A,No,0910,0915
Coastal Environment,,ERA2010,C,No,0911,
Collaborative Electronic Commerce Technology and Research,CollECTeR,CORE2018,B,No,0806,
